term,PCA dim
åtta,-0.8426
stor,-0.8448
behåller,-0.8454
öppnar,-0.8463
specifika,-0.8513
10,-0.8516
bio,-0.8517
försäkra,-0.8526
stänger,-0.8529
stort,-0.8549
tyvärr,-0.8572
genomgående,-0.8581
och,-0.8587
helst,-0.8643
förbjuden,-0.8644
efter,-0.8650
all,-0.8650
startade,-0.8652
hög,-0.8659
osv,-0.8687
hörde,-0.8689
tyst,-0.8689
sommar,-0.8695
själv,-0.8699
lät,-0.8705
fan,-0.8727
alla,-0.8733
denna,-0.8737
mitt,-0.8738
ett,-0.8740
utpräglad,-0.8746
ger,-0.8748
en,-0.8753
uteslutande,-0.8763
som,-0.8766
kunde,-0.8773
utan,-0.8840
normal,-0.8856
vänner,-0.8862
minns,-0.8874
nyss,-0.8901
önskar,-0.8938
okej,-0.8961
men,-0.8980
här,-0.8982
världens,-0.9007
kom,-0.9008
när,-0.9037
saknar,-0.9043
tråkigt,-0.9048
snart,-0.9048
så,-0.9053
tack,-0.9057
håller,-0.9075
synd,-0.9078
sällan,-0.9083
välkomna,-0.9088
numera,-0.9089
gav,-0.9093
på,-0.9095
tillför,-0.9096
slarvigt,-0.9112
relativt,-0.9114
a,-0.9116
ungefär,-0.9120
bekant,-0.9129
praktiskt,-0.9150
däremellan,-0.9164
sedan,-0.9168
gör,-0.9187
gärna,-0.9200
inriktar,-0.9221
fullt,-0.9233
tillförde,-0.9241
diverse,-0.9258
skicklig,-0.9267
återkommer,-0.9268
verkligen,-0.9281
delen,-0.9325
där,-0.9356
tryggt,-0.9372
helt,-0.9379
eftersom,-0.9386
över,-0.9389
gott,-0.9406
